author_id,author_nickname,author_signature,author_uniqueId,desc,music_album,music_authorName,authorStats_followerCount,authorStats_followingCount,authorStats_heart,authorStats_videoCount,stats_commentCount,stats_playCount,statsV2_commentCount,statsV2_diggCount,statsV2_playCount
7173783948289147950,Katie | The.Self.Defense.Girl,"Daily Self-Defense and Safety Tips 💪🏼

💌 katie@theselfdefensegirl.com",the.self.defense.girl,"Phone scammers are now using AI cloning to impersonate family members or loved ones. Please create a safe word or phrase so that if this ever happens to you, you can confirm that it’s actually them.  . OP @itvnews #scammers #ai #family #momtok #dadtok #safetytips #selfdefense #aivoicecloning #chatgpt #tiptok  #fyp #foryou ",,Katie | The.Self.Defense.Girl,468300,220,24500000,458,12800,28100000,12819,3508795,28102379
7098460882473518126,d,fl🏝️,deejnla,Jesus made a guest appearance fr👀 #fyp #viral #AI #basketball #blowthisup #funny #foryoupage #jesus #rareai ,Ron Artest,Babyface Ray & 42 Dugg,36500,177,3500000,25,18800,19300000,18840,3455640,19319283
7259831644219409413,Tech the Tutor     🎭,"Welcome brother 🌟🎭
👇🏼👇🏼",tech___tutor,thank me later #ai #tools #fy #tech___tutor ,,Oce_Lethal,101800,2,5400000,35,4923,28200000,4923,3404847,28162883
6651328699202633733,Grace,"For the girls
27
💌: graawhit@gmail.com",gracesplace,#CapCut #ai #remini #fypシ ,,Nightcore Revival,34500,845,4400000,94,8568,52600000,8568,3317158,52638937
6736696274563122181,Hoss-Design-USA,"Your Success, Our Design
Together, We Create Impact
 Check out the links for 🎁",hossdesignusa,Mercedes Evolution #mercedes #benz #mercedesbenz #AutoInnovation #ai #carsoftiktok #carevolution #mercedesbenzmaybachfans #mercedesamg #mercedesf1 #mercedesfernandez92 #mercedesbenzmuseum #carslover #carsoftiktok #carcommunity #cartiktok #carguy #carscene #digitalart ,The Motto,Tiësto & Ava Max,126700,155,6700000,57,4532,40900000,4532,3312638,40866740
6607593435081834502,Ariel Nicole,"KC-MO♥️💛
frogs🐸, crystals💎, nature🌲, love🏳️‍🌈
Insta: @ariel_kc",ariel_kc,Im scared lol #ai #aibotok #snapchatai #spooky #creepy #artificialintelligence ,,Ariel Nicole,988100,188,40700000,287,43900,29200000,43946,3308788,29238409
7293160196879238186,Emory AI,Making AI creations 🫦,emoryai,#foryou #foryoupage #fypage #fyp #fypシ #fypシ゚viral #fypviral #viral #viralvideo #viraltiktok #virapost #ai #aiimages #disney #disneyprincess #disneyprincesses #bosslady #bossladies ,Run the World (Girls),Beyoncé,76000,4,4300000,316,17600,23800000,17600,3291137,23843466
6779709723245839366,Jessica🍉🇨🇩,"Jessica💕
Love you all🥰
📩: jessie.aguu26@gmail.com
🇳🇬🏳️‍🌈| 🗽
BLM✊🏾🍉🇨🇩",qu33nzzz,Nah this sh!t creepy #ai #ghost #viral ,Players - DJ Smallz 732 - Jersey Club Remix,Coi Leray,52200,4100,4900000,1128,6551,17500000,6551,3232848,17471709
7050368044178867205,Coatsj,Create your own ai covers at,coatsj,Save this for December #plankton #ai #aicover #mariahcarey #planktonai #alliwantforchristmas #fyp #foryou #spongebob ,,Participation Certificate,71000,30,11800000,288,34300,19700000,34317,3223430,19721310
6688383444525827077,Jolie 🫶🏻,🌿🌼🍃,joliemlinares,🤭 why did it make me look so good #ai #aiart #foryou #foryoupage #fyp ,Top Hits Vintage,Bobby Darin & Richard Wess And His Orchestra,16100,470,3300000,264,4520,33600000,4520,3172550,33558310
7081461523428115498,MeepDaSheep,"God First ✝️
Minecraft Animator
Lobotomy Kaisen Enjoyer",meepeditz,Napoleon Villager what will we do? #napoleon #napoleonbonaparte #minecraft #villageraicover #villager #ai #villager #aicover ,,MeepDaSheep,363900,281,14400000,84,20700,17200000,20730,3158581,17177399
7130319692158370821,Toons Tunes,⬇️ Make your own AI songs ⬇️,toons.tunes,#minecraft #aicover #gangstasparadise #aisong #fyp #cover #door #minecraftdoor #abc #fypシ #cover #music #ai #aisongcover #songcover #songcovers,,Toons Tunes,828700,10,58000000,310,40800,26500000,40786,3160093,26453966
